in s,C1 in V
-9.69498376E+01,-3.280640E-06
-9.69406823E+01,3.814697E-07
-9.69315270E+01,8.392334E-07
-9.69223717E+01,-1.907349E-06
-9.69132164E+01,-1.907349E-06
-9.69040612E+01,5.722046E-06
-9.68949059E+01,3.128052E-06
-9.68857506E+01,4.959106E-06
-9.68765953E+01,8.163452E-06
-9.68674400E+01,3.280640E-06
-9.68582848E+01,6.942749E-06
-9.68491295E+01,4.348755E-06
-9.68399742E+01,9.384155E-06
-9.68308189E+01,3.585815E-06
-9.68216636E+01,2.365112E-06
-9.68125084E+01,6.027222E-06
-9.68033531E+01,6.027222E-06
-9.67941978E+01,-5.340576E-07
-9.67850425E+01,8.316040E-06
-9.67758872E+01,1.121521E-05
-9.67667320E+01,6.637573E-06
-9.67575767E+01,7.553101E-06
-9.67484214E+01,-9.918213E-07
-9.67392661E+01,5.874634E-06
-9.67301108E+01,2.365112E-06
-9.67209556E+01,3.433228E-06
-9.67118003E+01,1.136780E-05
-9.67026450E+01,8.926392E-06
-9.66934897E+01,7.705688E-06
-9.66843344E+01,7.858276E-06
-9.66751792E+01,1.228333E-05
-9.66660239E+01,1.106262E-05
-9.66568686E+01,1.045227E-05
-9.66477133E+01,8.926392E-06
-9.66385580E+01,1.518250E-05
-9.66294028E+01,6.790161E-06
-9.66202475E+01,9.078979E-06
-9.66110922E+01,8.010864E-06
-9.66019369E+01,1.136780E-05
-9.65927816E+01,6.942749E-06
-9.65836264E+01,2.517700E-06
-9.65744711E+01,4.043579E-06
-9.65653158E+01,9.841919E-06
-9.65561605E+01,-3.814697E-07
-9.65470052E+01,3.433228E-06
-9.65378500E+01,4.806519E-06
-9.65286947E+01,-4.348755E-06
-9.65195394E+01,1.296997E-06
-9.65103841E+01,-1.144409E-06
-9.65012288E+01,3.128052E-06
-9.64920736E+01,3.433228E-06
-9.64829183E+01,1.014709E-05
-9.64737630E+01,-2.517700E-06
-9.64646077E+01,-6.866455E-07
-9.64554524E+01,-3.433228E-06
-9.64462972E+01,-8.926392E-06
-9.64371419E+01,-8.392334E-07
-9.64279866E+01,-1.296997E-06
-9.64188313E+01,-1.907349E-06
-9.64096760E+01,-3.128052E-06
-9.64005208E+01,-3.814697E-07
-9.63913655E+01,8.392334E-07
-9.63822102E+01,2.822876E-06
-9.63730549E+01,3.585815E-06
-9.63638996E+01,6.332397E-06
-9.63547444E+01,-8.392334E-07
-9.63455891E+01,-2.517700E-06
-9.63364338E+01,-2.059937E-06
-9.63272785E+01,-4.959106E-06
-9.63181232E+01,2.212524E-06
-9.63089680E+01,7.629395E-08
-9.62998127E+01,1.449585E-06
-9.62906574E+01,3.890991E-06
-9.62815021E+01,4.196167E-06
-9.62723468E+01,5.722046E-06
-9.62631916E+01,-4.043579E-06
-9.62540363E+01,7.629395E-08
-9.62448810E+01,7.400513E-06
-9.62357257E+01,1.243591E-05
-9.62265704E+01,2.288818E-07
-9.62174152E+01,8.163452E-06
-9.62082599E+01,6.027222E-06
-9.61991046E+01,7.553101E-06
-9.61899493E+01,4.348755E-06
-9.61807940E+01,4.806519E-06
-9.61716388E+01,5.416870E-06
-9.61624835E+01,5.264282E-06
-9.61533282E+01,-1.014709E-05
-9.61441729E+01,5.340576E-07
-9.61350176E+01,1.144409E-06
-9.61258624E+01,-6.179810E-06
-9.61167071E+01,3.738403E-06
-9.61075518E+01,-2.288818E-07
-9.60983965E+01,-2.288818E-07
-9.60892412E+01,-5.569458E-06
-9.60800860E+01,-9.689331E-06
-9.60709307E+01,-2.288818E-07
-9.60617754E+01,4.501343E-06
-9.60526201E+01,-7.553101E-06
-9.60434648E+01,-8.010864E-06
-9.60343096E+01,-1.091003E-05
-9.60251543E+01,-8.316040E-06
-9.60159990E+01,-9.841919E-06
-9.60068437E+01,-6.179810E-06
-9.59976884E+01,-1.197815E-05
-9.59885332E+01,-1.167297E-05
-9.59793779E+01,-7.095337E-06
-9.59702226E+01,-1.335144E-05
-9.59610673E+01,-1.075745E-05
-9.59519120E+01,-1.014709E-05
-9.59427568E+01,-8.773804E-06
-9.59336015E+01,-5.111694E-06
-9.59244462E+01,-1.045227E-05
-9.59152909E+01,-1.197815E-05
-9.59061356E+01,-1.243591E-05
-9.58969804E+01,-1.754761E-06
-9.58878251E+01,-1.075745E-05
-9.58786698E+01,-6.332397E-06
-9.58695145E+01,-1.045227E-05
-9.58603592E+01,-6.637573E-06
-9.58512040E+01,-8.316040E-06
-9.58420487E+01,-8.468628E-06
-9.58328934E+01,-6.637573E-06
-9.58237381E+01,-4.501343E-06
-9.58145828E+01,-4.501343E-06
-9.58054276E+01,-1.449585E-06
-9.57962723E+01,2.670288E-06
-9.57871170E+01,-7.553101E-06
-9.57779617E+01,-5.722046E-06
-9.57688064E+01,-7.247925E-06
-9.57596512E+01,-6.179810E-06
-9.57504959E+01,-1.228333E-05
-9.57413406E+01,-1.319885E-05
-9.57321853E+01,-9.994507E-06
-9.57230300E+01,-1.335144E-05
-9.57138748E+01,-1.060486E-05
-9.57047195E+01,-3.585815E-06
-9.56955642E+01,-8.468628E-06
-9.56864089E+01,-3.585815E-06
-9.56772536E+01,-2.212524E-06
-9.56680984E+01,-1.380920E-05
-9.56589431E+01,-3.280640E-06
-9.56497878E+01,-1.075745E-05
-9.56406325E+01,-8.621216E-06
-9.56314772E+01,-1.296997E-06
-9.56223220E+01,-1.014709E-05
-9.56131667E+01,-1.976013E-05
-9.56040114E+01,-1.457214E-05
-9.55948561E+01,-6.637573E-06
-9.55857008E+01,-8.926392E-06
-9.55765456E+01,-4.043579E-06
-9.55673903E+01,-1.365662E-05
-9.55582350E+01,-2.288818E-07
-9.55490797E+01,-1.197815E-05
-9.55399244E+01,-3.585815E-06
-9.55307692E+01,-7.247925E-06
-9.55216139E+01,-4.806519E-06
-9.55124586E+01,-6.027222E-06
-9.55033033E+01,-2.822876E-06
-9.54941480E+01,-5.264282E-06
-9.54849928E+01,-1.060486E-05
-9.54758375E+01,-5.722046E-06
-9.54666822E+01,-7.095337E-06
-9.54575269E+01,5.340576E-07
-9.54483716E+01,-7.247925E-06
-9.54392164E+01,-7.247925E-06
-9.54300611E+01,-6.942749E-06
-9.54209058E+01,-1.296997E-06
-9.54117505E+01,-1.365662E-05
-9.54025952E+01,-7.247925E-06
-9.53934400E+01,-4.196167E-06
-9.53842847E+01,-5.340576E-07
-9.53751294E+01,3.280640E-06
-9.53659741E+01,-1.296997E-06
-9.53568188E+01,4.501343E-06
-9.53476636E+01,-3.280640E-06
-9.53385083E+01,-8.392334E-07
-9.53293530E+01,-1.457214E-05
-9.53201977E+01,-1.762390E-05
-9.53110424E+01,-1.243591E-05
-9.53018872E+01,-1.296997E-06
-9.52927319E+01,-1.029968E-05
-9.52835766E+01,-8.316040E-06
-9.52744213E+01,-9.078979E-06
-9.52652660E+01,-9.384155E-06
