in s,C1 in V
-9.67301108E+01,4.545822E+00
-9.67209556E+01,4.544449E+00
-9.67118003E+01,4.544907E+00
-9.67026450E+01,4.545364E+00
-9.66934897E+01,4.545212E+00
-9.66843344E+01,4.544296E+00
-9.66751792E+01,4.544296E+00
-9.66660239E+01,4.545059E+00
-9.66568686E+01,4.543686E+00
-9.66477133E+01,4.543228E+00
-9.66385580E+01,4.544907E+00
-9.66294028E+01,4.544754E+00
-9.66202475E+01,4.543839E+00
-9.66110922E+01,4.544754E+00
-9.66019369E+01,4.545212E+00
-9.65927816E+01,4.544601E+00
-9.65836264E+01,4.544296E+00
-9.65744711E+01,4.544754E+00
-9.65653158E+01,4.544601E+00
-9.65561605E+01,4.544754E+00
-9.65470052E+01,4.543686E+00
-9.65378500E+01,4.545212E+00
-9.65286947E+01,4.543686E+00
-9.65195394E+01,4.543991E+00
-9.65103841E+01,4.545059E+00
-9.65012288E+01,4.546432E+00
-9.64920736E+01,4.544449E+00
-9.64829183E+01,4.543228E+00
-9.64737630E+01,4.544907E+00
-9.64646077E+01,4.543076E+00
-9.64554524E+01,4.543381E+00
-9.64462972E+01,4.544449E+00
-9.64371419E+01,4.545059E+00
-9.64279866E+01,4.542313E+00
-9.64188313E+01,4.542160E+00
-9.64096760E+01,4.543381E+00
-9.64005208E+01,4.544144E+00
-9.63913655E+01,4.542618E+00
-9.63822102E+01,4.542618E+00
-9.63730549E+01,4.544754E+00
-9.63638996E+01,4.542770E+00
-9.63547444E+01,4.543839E+00
-9.63455891E+01,4.545059E+00
-9.63364338E+01,4.545059E+00
-9.63272785E+01,4.543991E+00
-9.63181232E+01,4.544754E+00
-9.63089680E+01,4.548264E+00
-9.62998127E+01,4.546280E+00
-9.62906574E+01,4.546127E+00
-9.62815021E+01,4.545059E+00
-9.62723468E+01,4.547806E+00
-9.62631916E+01,4.544601E+00
-9.62540363E+01,4.545364E+00
-9.62448810E+01,4.544754E+00
-9.62357257E+01,4.544144E+00
-9.62265704E+01,4.543991E+00
-9.62174152E+01,4.544601E+00
-9.62082599E+01,4.544907E+00
-9.61991046E+01,4.543076E+00
-9.61899493E+01,4.542770E+00
-9.61807940E+01,4.544601E+00
-9.61716388E+01,4.545364E+00
-9.61624835E+01,4.543686E+00
-9.61533282E+01,4.544907E+00
-9.61441729E+01,4.546585E+00
-9.61350176E+01,4.545517E+00
-9.61258624E+01,4.544601E+00
-9.61167071E+01,4.546432E+00
-9.61075518E+01,4.547043E+00
